cycle,pc_if,pc_id,instr,is_decoding,id_ready,ex_ready,load_stall,jr_stall,misaligned_stall,branch_dec,pc_set,data_req,data_gnt,data_rvalid,if_busy,perf_imiss,instr_valid_id
99,0x0000068c,0x0000068a,0x00829293,1,0,0,0,0,0,0,0,1,0,0,1,0,1
100,0x0000068c,0x0000068a,0x00829293,1,1,1,0,0,0,0,0,1,1,1,1,0,1
101,0x0000068e,0x0000068c,0x01079793,1,0,0,0,0,0,0,0,0,0,0,1,0,1
102,0x0000068e,0x0000068c,0x01079793,1,1,1,0,0,0,0,0,0,0,1,1,0,1
103,0x00000690,0x0000068e,0x01869693,1,1,1,0,0,0,0,0,0,0,0,1,0,1
104,0x00000692,0x00000690,0x00871713,1,1,1,0,0,0,0,0,0,0,0,1,0,1
105,0x00000696,0x00000692,0x0112e8b3,1,1,1,0,0,0,0,0,0,0,0,1,1,1
106,0x00000696,0x00000692,0x0112e8b3,0,1,1,0,0,0,0,0,0,0,0,1,0,0
107,0x0000069a,0x00000696,0x00f6ee33,1,1,1,0,0,0,0,0,0,0,0,1,1,1
108,0x0000069a,0x00000696,0x00f6ee33,0,1,1,0,0,0,0,0,0,0,0,1,0,0
109,0x0000069e,0x0000069a,0x00c762b3,1,1,1,0,0,0,0,0,0,0,0,1,1,1
110,0x0000069e,0x0000069a,0x00c762b3,0,1,1,0,0,0,0,0,0,0,0,1,0,0
111,0x000006a2,0x0000069e,0x00854703,1,1,1,0,0,0,0,0,0,0,0,1,1,1
112,0x000006a2,0x0000069e,0x00854703,0,1,1,0,0,0,0,0,1,1,0,1,0,0
113,0x000006a6,0x000006a2,0x00954783,1,0,0,0,0,0,0,0,0,0,0,1,1,1
114,0x000006a6,0x000006a2,0x00954783,1,1,1,0,0,0,0,0,0,0,1,1,0,1
115,0x000006aa,0x000006a6,0x00a54603,1,1,1,0,0,0,0,0,1,1,0,1,1,1
116,0x000006aa,0x000006a6,0x00a54603,0,0,0,0,0,0,0,0,1,0,0,1,0,0
117,0x000006aa,0x000006a6,0x00a54603,0,1,1,0,0,0,0,0,1,1,1,1,0,0
118,0x000006ae,0x000006aa,0x00b54683,1,0,0,0,0,0,0,0,0,0,0,1,0,1
119,0x000006ae,0x000006aa,0x00b54683,1,1,1,0,0,0,0,0,0,0,1,1,0,1
120,0x000006b0,0x000006ae,0x01031313,1,1,1,0,0,0,0,0,1,1,0,1,0,1
121,0x000006b2,0x000006b0,0x01839393,1,0,0,0,0,0,0,0,0,0,0,1,0,1
122,0x000006b2,0x000006b0,0x01839393,1,1,1,0,0,0,0,0,0,0,1,1,0,1
123,0x000006b4,0x000006b2,0x00879793,1,1,1,0,0,0,0,0,0,0,0,1,0,1
124,0x000006b6,0x000006b4,0x01061613,1,1,1,0,0,0,0,0,0,0,0,1,0,1
125,0x000006b8,0x000006b6,0x01869693,1,1,1,0,0,0,0,0,0,0,0,1,0,1
126,0x000006bc,0x000006b8,0x0063e333,1,1,1,0,0,0,0,0,0,0,0,1,0,1
127,0x000006c0,0x000006bc,0x00e7e3b3,1,1,1,0,0,0,0,0,0,0,0,1,1,1
128,0x000006c0,0x000006bc,0x00e7e3b3,0,1,1,0,0,0,0,0,0,0,0,1,0,0
